,Song,Artist,artist_trunc,search_term,lyrics_raw
223,She Ain't Worth It,Glenn Medeiros and Bobby Brown,Glenn Medeiros,She Ain't Worth It Glenn Medeiros,error
224,If Wishes Came True,Sweet Sensation,Sweet Sensation,If Wishes Came True Sweet Sensation,error
225,The Power,Snap!,Snap!,The Power Snap!,error
226,(Can't Live Without Your) Love and Affection,Nelson,Nelson,(Can't Live Without Your) Love and Affection Nelson,error
227,Love Will Lead You Back,Taylor Dayne,Taylor Dayne,Love Will Lead You Back Taylor Dayne,error
228,Don't Wanna Fall in Love,Jane Child,Jane Child,Don't Wanna Fall in Love Jane Child,error
229,Two to Make It Right,Seduction,Seduction,Two to Make It Right Seduction,error
230,Sending All My Love,Linear,Linear,Sending All My Love Linear,error
231,Unskinny Bop,Poison,Poison,Unskinny Bop Poison,error
232,Step by Step,New Kids on the Block,New Kids,Step by Step New Kids,error
233,Dangerous,Roxette,Roxette,Dangerous Roxette,error
234,We Didn't Start the Fire,Billy Joel,Billy Joel,We Didn't Start the Fire Billy Joel,error
235,I Don't Have the Heart,James Ingram,James Ingram,I Don't Have the Heart James Ingram,error
236,Downtown Train,Rod Stewart,Rod Stewart,Downtown Train Rod Stewart,error
237,Rhythm Nation,Janet Jackson,Janet Jackson,Rhythm Nation Janet Jackson,error
238,I'll Be Your Everything,Tommy Page,Tommy Page,I'll Be Your Everything Tommy Page,error
239,Roam,The B-52s,The B-52s,Roam The B-52s,error
240,Everything,Jody Watley,Jody Watley,Everything Jody Watley,error
241,Back to Life (However Do You Want Me),Soul II Soul featuring Caron Wheeler,Soul II,Back to Life (However Do You Want Me) Soul II,error
242,Here and Now,Luther Vandross,Luther Vandross,Here and Now Luther Vandross,error
243,Alright,Janet Jackson,Janet Jackson,Alright Janet Jackson,error
244,Ice Ice Baby,Vanilla Ice,Vanilla Ice,Ice Ice Baby Vanilla Ice,error
245,Blame It on the Rain,Milli Vanilli,Milli Vanilli,Blame It on the Rain Milli Vanilli,error
246,Have You Seen Her,MC Hammer,MC Hammer,Have You Seen Her MC Hammer,error
247,With Every Beat of My Heart,Taylor Dayne,Taylor Dayne,With Every Beat of My Heart Taylor Dayne,error
